2601.01060 | HTTP 200 | [2601.01060] Unsupervised Text Style Transfer for Controllable Intensity
2504.07448 | HTTP 200 | [2504.07448] LoRI: Reducing Cross-Task Interference in Multi-Task Low-Rank Adaptation
2406.10882 | HTTP 200 | [2406.10882] SCAR: Data Selection via Style Consistency-Aware Response Ranking for Efficient Instruction-Tuning of Large Language Models
2305.11206 | HTTP 200 | [2305.11206] LIMA: Less Is More for Alignment
2412.00804 | HTTP 200 | [2412.00804] Examining Identity Drift in Conversations of LLM Agents
2408.16673 | HTTP 200 | [2408.16673] Preserving Diversity in Supervised Fine-Tuning of Large Language Models
2311.04892 | HTTP 200 | [2311.04892] Bias Runs Deep: Implicit Reasoning Biases in Persona-Assigned LLMs
2310.11501 | HTTP 200 | [2310.11501] CoMPosT: Characterizing and Evaluating Caricature in LLM Simulations
2305.18189 | HTTP 200 | [2305.18189] Marked Personas: Using Natural Language Prompts to Measure Stereotypes in Language Models
2403.00742 | HTTP 200 | [2403.00742] Dialect prejudice predicts AI decisions about people&#39;s character, employability, and criminality
2402.10962 | HTTP 200 | [2402.10962] Measuring and Controlling Instruction (In)Stability in Language Model Dialogs
2309.05196 | HTTP 200 | [2309.05196] Does Writing with Language Models Reduce Content Diversity?
2310.06452 | HTTP 200 | [2310.06452] Understanding the Effects of RLHF on LLM Generalisation and Diversity
